Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
FC Schalke 04	S7	EUW	41	73.2%	1.37	1892	200	32:58	12.9	9.4	7.4	4.6	41.5	65.9	1.63	58.2	-	0.27	37.9	0.34	0.4	753	-	1.05	72.1	33.0	1977	3.6	0.91	1.24
Fire Ball	S7	TW	63	22.2%	0.71	1640	-216	34:51	9.1	12.9	4.0	8.0	39.7	31.7	1.27	37.1	-	0.27	51.5	0.31	-0.6	-1326	-	0.48	30.2	30.4	1620	3.6	1.01	1.24
Flash Wolves	S7	TW	105	71.4%	1.68	1868	201	35:39	13.3	7.9	8.1	4.1	55.2	69.5	2.11	64.7	-	0.33	61.4	0.48	0.6	1052	-	0.85	66.9	32.0	1947	3.9	1.12	1.39
FlyQuest	S7	NA	107	44.9%	0.83	1757	-70	35:27	12.3	14.9	5.9	6.8	45.8	59.8	1.64	45.8	-	0.21	45.8	0.56	0.1	-96	-	0.71	48.8	30.4	1955	3.3	0.76	1.20
Fnatic	S7	EUW	112	59.8%	1.33	1847	108	36:23	12.7	9.6	7.3	5.9	62.5	49.1	1.83	54.2	-	0.36	50.0	0.40	0.3	464	-	0.87	56.7	32.1	1907	3.6	0.95	1.20
Fnatic Academy	S7	EUW	27	59.3%	1.03	1780	44	37:23	12.3	11.9	7.3	6.0	70.4	44.4	2.19	55.6	-	0.30	66.7	0.48	-0.4	-292	-	1.00	62.2	30.6	1652	3.5	0.90	1.28
Furious Gaming	S7	LAS	6	50.0%	0.98	1737	-48	39:58	10.3	10.5	6.7	7.3	50.0	33.3	3.00	64.2	-	0.33	50.0	0.83	-0.2	-903	-	1.00	62.5	31.5	1768	4.4	1.49	1.51
G2 Esports	S7	EUW	126	61.9%	1.15	1834	83	37:04	12.5	10.9	7.2	5.6	50.8	55.6	2.09	57.9	-	0.37	68.7	0.56	0.2	609	-	0.94	57.3	32.7	2036	3.6	0.97	1.38
Gambit Esports	S7	CIS	40	62.5%	1.10	1806	43	36:11	14.8	13.4	6.9	5.6	47.5	42.5	1.85	50.1	-	0.28	40.7	0.60	0.0	83	-	0.98	64.7	30.1	2103	3.7	1.01	1.21
Game Talents	S7	CN	38	28.9%	0.66	1686	-215	37:36	11.6	17.5	4.8	8.1	-	-	1.42	35.3	-	-	-	-	-	-	-	-	-	30.4	-	-	-	-
Giants	S7	EUW	69	43.5%	0.83	1743	-73	34:36	10.4	12.6	5.7	6.7	52.2	37.7	1.43	44.0	-	0.20	45.2	0.49	0.0	-433	-	0.62	46.5	31.3	1797	3.6	1.08	1.32
GIGABYTE Marines	S7	SEA	39	51.3%	0.99	1833	26	33:21	14.7	14.7	6.4	5.8	53.8	43.6	1.74	53.3	-	0.21	47.1	0.51	0.2	-18	-	0.54	51.5	31.0	1967	3.5	1.05	1.38
Gold Coin United	S7	NA	74	62.2%	1.31	1820	105	37:36	12.6	9.6	7.4	5.4	52.7	64.9	2.12	57.2	-	0.34	61.0	0.45	0.3	720	-	0.97	66.1	31.5	1993	3.3	0.88	1.33
H2K Gaming	S7	EUW	91	61.5%	1.25	1832	99	35:03	14.1	11.2	7.2	5.1	61.5	57.1	1.92	62.9	-	0.22	44.4	0.51	0.4	577	-	0.85	61.3	31.1	2031	3.5	1.07	1.36
Hong Kong Attitude	S7	TW	87	48.3%	0.93	1758	-23	36:26	10.7	11.5	5.9	6.5	52.9	49.4	1.85	51.0	-	0.29	47.2	0.51	-0.1	-184	-	0.71	45.3	31.6	1863	3.8	1.09	1.44
I May	S7	CN	86	41.9%	0.85	1765	-45	36:59	11.7	13.7	5.5	6.9	-	-	1.67	46.9	-	-	-	-	-	-	-	-	-	31.6	-	-	-	-
